SlopeFEM_2D 计算结果导出
导出时间:,2025-06-10 22:37:13

目标点位移结果
点名称,水平位移 (m),竖直位移 (m)
A,-3.181601e-03,-1.871507e-03
B,1.556304e-02,-1.455115e-03

节点位移结果
节点ID,X坐标 (m),Y坐标 (m),水平位移 (m),竖直位移 (m)
182,-20.538927,-8.200310,-8.759747e-03,-1.124480e-02
183,-7.694257,-10.342911,-4.735680e-03,-3.224951e-02
184,-13.127670,-15.107667,-9.312819e-03,-1.426169e-02
185,-0.989334,-3.903295,3.368776e-03,-7.139446e-02
186,-7.955702,-3.933077,-4.835120e-03,-5.748061e-02
187,30.614238,-8.366897,1.228914e-02,1.625765e-03
188,31.794537,-9.997233,1.145624e-02,1.835606e-03
189,38.655635,-12.217066,6.186136e-03,2.664467e-03
190,35.120000,-22.500000,9.288330e-03,-3.338340e-16
191,35.784669,-10.278024,8.594565e-03,2.758088e-03
192,34.604746,-8.642299,9.798274e-03,2.889579e-03
193,34.892738,-7.738244,1.025480e-02,3.053178e-03
194,-15.916636,-3.416311,-1.085237e-02,-3.076393e-02
195,15.786589,-14.230400,1.848746e-02,-1.116306e-02
196,-39.360000,-8.990000,-9.790734e-16,3.308941e-03
197,45.760000,-13.860000,1.389114e-15,2.497664e-03
198,16.157500,2.235000,1.089379e-02,-3.600413e-02
199,20.500145,-3.250741,2.005596e-02,-1.210630e-02
200,-19.531963,-11.753594,-1.033096e-02,-1.048524e-02
201,30.967738,-5.343244,1.315414e-02,2.094638e-03
202,32.543188,-13.604133,1.107257e-02,1.412990e-03
203,-16.985964,1.828685,-1.597142e-03,-3.265185e-02
204,-36.563695,-7.990000,-1.247015e-03,3.243799e-03
205,-16.423362,-11.453289,-1.006254e-02,-1.583203e-02
206,36.660616,-12.075999,7.828143e-03,2.474941e-03
207,40.647311,-12.405641,4.501487e-03,2.804030e-03
208,-16.610947,-0.826361,-8.709619e-03,-3.234104e-02
209,-39.360000,-6.990000,-4.090813e-16,3.645255e-03
210,34.632996,-12.398211,9.434294e-03,2.055696e-03
211,39.464424,-14.286916,5.498090e-03,2.200256e-03
212,36.176879,-15.572762,8.247576e-03,1.592628e-03
213,38.355555,-16.297436,6.443234e-03,1.593988e-03
214,36.206352,-19.121501,8.302910e-03,7.943305e-04
215,40.440000,-22.500000,4.703389e-03,-1.720839e-16
216,39.675506,-19.305384,5.318777e-03,8.418041e-04
217,0.653313,-10.948699,5.299704e-03,-3.480371e-02
218,22.818334,-14.103892,1.737560e-02,-3.859192e-03
219,20.288986,-12.063876,1.799322e-02,-7.536367e-03
220,-4.027477,-11.716225,-7.270942e-04,-3.154119e-02
221,17.712996,-2.646697,2.240045e-02,-2.304765e-02
222,-14.012116,-0.474828,-9.219076e-03,-5.428489e-02
